NUM,MIN,MAX,AVG
0,0.000387973,0.001302346,0.0009031837700000003
1,0.00042038,0.001507682,0.0010535336400000002
2,0.000491688,0.001254435,0.00099983965
3,0.000494482,0.001278739,0.0011159339599999998
4,0.000426596,0.001346556,0.0010199122599999998
5,0.00041577,0.001268543,0.0007798159400000005
6,0.000410462,0.001315477,0.0008456358700000003
7,0.000372956,0.001370023,0.0006965726000000001
8,0.000348652,0.001478767,0.0007341609100000004
9,0.000380919,0.001115029,0.0007197558799999998
10,0.000403059,0.001082972,0.0006813503100000002
11,0.000405504,0.001329794,0.0007253978099999998
12,0.00037589,0.001224891,0.0007983374199999998
13,0.000373237,0.001203799,0.0007750457800000001
14,0.000388182,0.001621665,0.00077200133
15,0.000433929,0.001271197,0.0008806282
16,0.000354937,0.001398169,0.00101745866
17,0.000366531,0.001356124,0.0008119929099999999
18,0.000421777,0.001260371,0.0008218462200000003
19,0.000404037,0.001268333,0.0008467428800000003
20,0.000369325,0.001298784,0.0009264285800000003
21,0.000372538,0.001372747,0.00080450097
22,0.000458234,0.001373516,0.0010464697400000003
23,0.000415002,0.001319387,0.0010846817599999999
24,0.000441751,0.001439725,0.0009941313499999998
25,0.000468571,0.001346346,0.001050804
26,0.000505796,0.001541485,0.0011168656800000002
27,0.000375332,0.001075569,0.0006828723899999997
28,0.000550007,0.001457955,0.0011517776899999997
29,0.000353401,0.003891603,0.0008648277999999999
30,0.000348373,0.001069353,0.0005778059500000001
31,0.000381618,0.00116776,0.0007232446200000003
32,0.000363668,0.001078851,0.00063614937
33,0.000348652,0.001186757,0.0006044619900000003
34,0.00042031,0.001294384,0.00089675261
35,0.000339153,0.001254295,0.00068693225
36,0.000427364,0.00128307,0.0008015620000000001
37,0.000348652,0.001205265,0.0007551483900000002
38,0.00035836,0.001301787,0.0007931886299999994
39,0.0004113,0.001418843,0.00098773386
40,0.000439028,0.001246821,0.0008083918300000003
